priority,owasp_categories,rationale,url_redacted,route_template,query_parameters,sensitivity,url_fingerprint_sha256_12,source_count,sources
100,A02 Cryptographic Failures; A07 Identification and Authentication Failures,"Archived onboarding URL contains token/identity-bearing query fields; Authentication, onboarding, or session lifecycle surface",https://app.perk.com/onboard/?account_name=[REDACTED]&last_name=[REDACTED]&name=[REDACTED]&source=[REDACTED]&token=[REDACTED]&uid=[REDACTED],/onboard/?account_name=&last_name=&name=&source=&token=&uid=,"account_name,last_name,name,source,token,uid",sensitive_query_values_redacted,e1453430fff5,3,"all_exact_host_urls_sensitive,api_urlscan,gau_urlscan"
100,A02 Cryptographic Failures; A07 Identification and Authentication Failures,"Archived onboarding URL contains token/identity-bearing query fields; Authentication, onboarding, or session lifecycle surface",https://app.perk.com/onboard/?account_name=[REDACTED]&last_name=[REDACTED]&name=[REDACTED]&source=[REDACTED]&token=[REDACTED]&uid=[REDACTED],/onboard/?account_name=&last_name=&name=&source=&token=&uid=,"account_name,last_name,name,source,token,uid",sensitive_query_values_redacted,c8a5928a0b90,3,"all_exact_host_urls_sensitive,api_urlscan,gau_urlscan"
98,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Approval/payment state-transition route,https://app.perk.com/void/approvals-v3/approver/trip-review/34106378,/void/approvals-v3/approver/trip-review/{id},,normal,f4562d4bbe21,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
98,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Approval/payment state-transition route,https://app.perk.com/void/approvals-v3/approver/trip-review/34836797,/void/approvals-v3/approver/trip-review/{id},,normal,44b963266c39,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
98,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Approval/payment state-transition route,https://app.perk.com/void/approvals-v3/approver/trip-review/35201347,/void/approvals-v3/approver/trip-review/{id},,normal,d26d1f9e034d,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
98,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Approval/payment state-transition route,https://app.perk.com/void/approvals-v3/approver/trip-review/35608553/approve,/void/approvals-v3/approver/trip-review/{id}/approve,,normal,ea81099a47d5,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
98,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Approval/payment state-transition route,https://app.perk.com/void/approvals-v3/approver/trip-review/35174304/approve-and-pay,/void/approvals-v3/approver/trip-review/{id}/approve-and-pay,,normal,078bf86eff19,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
98,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Approval/payment state-transition route,https://app.perk.com/void/approvals-v3/approver/trip-review/35608000/approve-and-pay,/void/approvals-v3/approver/trip-review/{id}/approve-and-pay,,normal,caf17c2fda15,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
98,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Approval/payment state-transition route,https://app.perk.com/void/approvals-v3/approver/trip-review/35608553/approve-and-pay,/void/approvals-v3/approver/trip-review/{id}/approve-and-pay,,normal,c6d8008dd56b,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
98,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Approval/payment state-transition route,https://app.perk.com/void/approvals-v3/approver/trip-review/38072207/approve-and-pay,/void/approvals-v3/approver/trip-review/{id}/approve-and-pay,,normal,6ca6d6e03d80,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
98,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Approval/payment state-transition route,https://app.perk.com/void/approvals-v3/approver/trip-review/38893212/approve-and-pay,/void/approvals-v3/approver/trip-review/{id}/approve-and-pay,,normal,f3f8984ec222,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
96,A01 Broken Access Control,Direct object reference in trip/event/approval route; Trip confirmation-email retrieval route,https://app.perk.com/void/trips/34451607/confirmation-email,/void/trips/{id}/confirmation-email,,normal,23d3da0e0be9,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
96,A01 Broken Access Control,Direct object reference in trip/event/approval route; Trip confirmation-email retrieval route,https://app.perk.com/void/trips/36057432/confirmation-email,/void/trips/{id}/confirmation-email,,normal,4c4e8d5b1fbc,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
96,A01 Broken Access Control,Direct object reference in trip/event/approval route; Trip confirmation-email retrieval route,https://app.perk.com/void/trips/36091168/confirmation-email,/void/trips/{id}/confirmation-email,,normal,3354439e4cd0,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
94,A01 Broken Access Control,Direct object reference in trip/event/approval route; UUID-based shared-trip access route,https://app.perk.com/share/trip/0df5fcf7-a814-45aa-ba48-66f6d9e4f1ca,/share/trip/{uuid},,normal,c0d60f4c01fa,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
92,A01 Broken Access Control; A04 Insecure Design,Checkout object/state route,https://app.perk.com/checkout/35855038/,/checkout/{id}/,,normal,e2f7358bb57f,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
92,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Trip state-change or disruption workflow,https://app.perk.com/trips/36422126/confirm,/trips/{id}/confirm,,normal,e261b4f2452e,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
92,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Trip state-change or disruption workflow,https://app.perk.com/trips/36459484/confirm,/trips/{id}/confirm,,normal,2bb48a7bad88,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
92,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Trip state-change or disruption workflow,https://app.perk.com/trips/36505512/confirm,/trips/{id}/confirm,,normal,4026ab08ebe6,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
92,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Trip state-change or disruption workflow,https://app.perk.com/trips/36555456/confirm,/trips/{id}/confirm,,normal,814c819a4cee,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
92,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Trip state-change or disruption workflow,https://app.perk.com/trips/36650084/confirm,/trips/{id}/confirm,,normal,600f8a2b19ec,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
92,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Trip state-change or disruption workflow,https://app.perk.com/trips/36686426/confirm,/trips/{id}/confirm,,normal,ca897ee10ede,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
92,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Trip state-change or disruption workflow,https://app.perk.com/trips/36728550/confirm,/trips/{id}/confirm,,normal,a878f20c8582,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
92,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Trip state-change or disruption workflow,https://app.perk.com/trips/36746437/confirm,/trips/{id}/confirm,,normal,788e5e40fefd,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
92,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Trip state-change or disruption workflow,https://app.perk.com/trips/36773196/confirm,/trips/{id}/confirm,,normal,b0c22ef5dd71,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
92,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Trip state-change or disruption workflow,https://app.perk.com/trips/36778304/confirm,/trips/{id}/confirm,,normal,32eb942ab229,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
92,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Trip state-change or disruption workflow,https://app.perk.com/trips/36787473/confirm,/trips/{id}/confirm,,normal,f01dac242fb0,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
92,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Trip state-change or disruption workflow,https://app.perk.com/trips/36792131/confirm,/trips/{id}/confirm,,normal,81f9eee0e27d,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
92,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Trip state-change or disruption workflow,https://app.perk.com/trips/36797866/confirm,/trips/{id}/confirm,,normal,280d6e4bc433,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
92,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Trip state-change or disruption workflow,https://app.perk.com/trips/36836712/confirm,/trips/{id}/confirm,,normal,750b9114ce75,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
92,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Trip state-change or disruption workflow,https://app.perk.com/trips/36941196/confirm,/trips/{id}/confirm,,normal,5cb674cf810a,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
92,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Trip state-change or disruption workflow,https://app.perk.com/trips/36963163/confirm,/trips/{id}/confirm,,normal,c10c7e006e3f,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
92,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Trip state-change or disruption workflow,https://app.perk.com/trips/36972362/confirm,/trips/{id}/confirm,,normal,0baa4c177db6,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
92,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Trip state-change or disruption workflow,https://app.perk.com/trips/37005256/confirm,/trips/{id}/confirm,,normal,977cb5970ab6,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
92,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Trip state-change or disruption workflow,https://app.perk.com/trips/37630817/itinerary/modify-cancel/inprogress,/trips/{id}/itinerary/modify-cancel/inprogress,,normal,5d3f850e649a,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
92,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Trip state-change or disruption workflow,https://app.perk.com/void/trips/36533121/itinerary/involuntary-changes/17026,/void/trips/{id}/itinerary/involuntary-changes/{id},,normal,0ba033c8d71c,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
90,A07 Identification and Authentication Failures,"Authentication, onboarding, or session lifecycle surface; Federated/SSO redirect or seamless-login boundary",https://app.perk.com/api/identity/perk-seamless-login/,/api/identity/perk-seamless-login/,,normal,bc3097ca52f3,3,"all_exact_host_urls_sensitive,api_urlscan,gau_urlscan"
90,A07 Identification and Authentication Failures,"Authentication, onboarding, or session lifecycle surface; Federated/SSO redirect or seamless-login boundary",https://app.perk.com/api/v2/federated-login-redirect/,/api/v2/federated-login-redirect/,,normal,dcdfe6214111,3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls"
90,A07 Identification and Authentication Failures,"Authentication, onboarding, or session lifecycle surface; Federated/SSO redirect or seamless-login boundary",https://app.perk.com/sso-login,/sso-login,,normal,b26053d206a4,3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/events/49879,/events/{id},,normal,eda4736248d8,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/events/49920,/events/{id},,normal,6c0f3af5faf8,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/events/50278,/events/{id},,normal,13a39b6973a0,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/events/51312,/events/{id},,normal,9657a301810b,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/events/51721,/events/{id},,normal,363571fc0518,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/events/53656,/events/{id},,normal,0230737cb829,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/events/54193,/events/{id},,normal,4bc4f3a1a5ce,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/trips/%s,/trips/{id_placeholder},,normal,f2138ca15ef3,2,"all_exact_host_urls_sensitive,api_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/trips/35873713,/trips/{id},,normal,3a3bb0fba9f8,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/trips/36134752,/trips/{id},,normal,af1a537a5133,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/trips/36152247,/trips/{id},,normal,9407d2c1e7b3,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/trips/36337250,/trips/{id},,normal,90679d79eb84,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/trips/36488774,/trips/{id},,normal,a6c9fb7ddd08,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/trips/36497755,/trips/{id},,normal,56b3d3bbcf58,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/trips/36522628,/trips/{id},,normal,866f50e5e248,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/trips/36580887,/trips/{id},,normal,34b989aee288,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/trips/36649740,/trips/{id},,normal,6f7b3dd88813,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/trips/36681020,/trips/{id},,normal,7a12226ff907,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/trips/36716855,/trips/{id},,normal,c7cf88377895,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/trips/36769663,/trips/{id},,normal,bc3ce1a31567,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/trips/36778304,/trips/{id},,normal,6d858daa10bf,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/trips/36787473,/trips/{id},,normal,9a69626c8ada,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/trips/36802006,/trips/{id},,normal,5d3cf9d6070c,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/trips/36842938,/trips/{id},,normal,494038338c28,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/trips/36848899,/trips/{id},,normal,a42590a11705,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/trips/36975689,/trips/{id},,normal,b664d07c53c4,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/trips/37245935,/trips/{id},,normal,61be58aceb8f,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
88,A01 Broken Access Control,Direct object reference in trip/event/approval route,https://app.perk.com/trips/38102826,/trips/{id},,normal,78a32ae6c9c4,3,"all_exact_host_urls_sensitive,api_otx,gau_otx"
